
Bank of America Corp,Last: 62.1501,Change:  0.0201
"Date: July 28, 2026 at 9:49 AM EDT",Bid: 62.15,Ask: 62.18,Size: 1000*500,"Volume: 1,610,308"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Aug 07 2026,BAC260807C00030000,32.43,0,31.05,33.65,0,2.2151,0.9997,0.0001,2,30.00,BAC260807P00030000,0,0,0,0.03,0,1.6511,-0.0002,0.0001,0
Fri Aug 07 2026,BAC260807C00035000,26.33,0,26.05,28.65,0,1.777,0.9994,0.0001,11,35.00,BAC260807P00035000,0,0,0,0.02,0,1.2698,-0.0005,0.0001,0
Fri Aug 07 2026,BAC260807C00040000,21.95,0,20.25,24.15,0,0,0.9988,0.0004,45,40.00,BAC260807P00040000,0,0,0,0.03,0,1.0388,-0.0011,0.0004,0
Fri Aug 07 2026,BAC260807C00045000,16.55,0,16.25,18.65,0,1.1849,0.9972,0.0011,2,45.00,BAC260807P00045000,0.06,0,0,0.03,0,0.7839,-0.0027,0.0011,11
Fri Aug 07 2026,BAC260807C00046000,15.55,0,14.25,18.2,0,0,0.9967,0.0014,3,46.00,BAC260807P00046000,0.09,0,0,0.03,0,0.7357,-0.0033,0.0014,1
Fri Aug 07 2026,BAC260807C00047000,15.25,0,13.25,17.2,0,0,0.996,0.0017,5,47.00,BAC260807P00047000,0.09,0,0,0.03,0,0.6885,-0.004,0.0017,16
Fri Aug 07 2026,BAC260807C00048000,12.93,0,13.25,16.2,0,1.192,0.9951,0.0022,5,48.00,BAC260807P00048000,0.03,0,0,0.03,0,0.642,-0.0049,0.0022,2
Fri Aug 07 2026,BAC260807C00049000,11.85,0,12,15.2,0,1.0362,0.9939,0.0028,9,49.00,BAC260807P00049000,0.04,0,0,0.04,0,0.6178,-0.006,0.0028,2
Fri Aug 07 2026,BAC260807C00050000,12.3,0,11,13.55,0,0.6342,0.9925,0.0036,47,50.00,BAC260807P00050000,0.02,0,0,0.04,0,0.5713,-0.0075,0.0036,31
Fri Aug 07 2026,BAC260807C00051000,11.25,0,10.9,11.45,0,0,0.9906,0.0047,61,51.00,BAC260807P00051000,0.04,0,0,0.04,0,0.5254,-0.0094,0.0047,303
